SITE	ZONE	LATITUDE	LONGITUDE	ET	DATE_CH	PHMA	PMVE	PMME	NM	BMME	BMVE	PBMA	RF	ORGANISME	DATE_RF	RF_ZH	RF_Ref	ZH_Ref	ZH_Elli	REFERENCE
Anse Amyot	Abords de Mururoa	-15.804167	-146.152167										Sommet d'une tige en fer scellée dans le corail au milieu d'un tube en PVC, au Sud Ouest de la passe d'entrée de l'Anse Amyot sur le Motu Katuri (Borne AMI 3).	Shom		1.804				
Toau	Abords de Mururoa	-15.866667	-145.916667			0.92	0.8	0.75	0.6	0.5	0.4	0.28	"Borne MARAGAI douille de type SHOM cimentée et gravée ""MOP 20/9/94 MRY BSW""."	Shom		1.488			0.452	
Aratika (camp)	Abords de Mururoa	-15.470833	-145.535833										Repère de type SHOM scellé horizontalement dans l'embase du fût cimenté le plus à l'Est de l'ancien ponton au Nord-Est du Lagon.	Shom		0.626				
Aratika (village)	Abords de Mururoa	-15.505333	-145.456333										Repère fondamental type SHOM scellé horizontalement dans l'angle Ouest du soubassement de la maison communale  du village Paparara.	Shom		1.489				
Niau	Abords de Mururoa	-16.133333	-146.333333										Repère fondamental. Douille SHOM scellée verticalement, dans l'angle Ouest du muret de la darse de Tupana.	Shom		1.897			0.533	
Kauehi	Abords de Mururoa	-15.825	-145.111667										Borne « Paimpolaise », douille de type SHOM scellée verticalement et marquée « MOP87 » qui se trouve à environ 300m sur la droite du chemin qui part de l’église vers le Nord.	Shom		0.911			-0.421	
Rotoava	Abords de Mururoa	-16.055833	-145.62		2017	0.79	0.7	0.65	0.5	0.35	0.25	0.23	Vis scellée horizontalement dans le bâtiment le plus ancien de l'école primaire, à proximité de l'escalier (façade ouest). Repère pérenne.	Shom		1.438			0.167	
Motu Vahapiapia	Abords de Mururoa	-16.2595	-145.6225			0.66	0.6	0.4	0.35	0.2	0.1	0.07	"Repère en laiton gravé ""SH"" scellé sur le sommet d'un rocher à l'Est de la plage de débarquement du motu VAHAPIAPIA."	Shom		0.96				
Tetamanu	Abords de Mururoa	-16.5	-145.466667			0.73	0.7	0.6	0.44	0.3	0.2	0.19	"Repère fondamental. Douille SHOM marquée ""MANU-01"", scellée dans le coin droit de la marche en béton, délimitant le début du ponton."	Shom		0.769			-0.349	
Raraka	Abords de Mururoa	-16.098333	-144.95										Douille SHOM scellée horizontalement sur le mur Est de la rampe d'accès à l'Office des Postes et Télécommunications. Repère fondamental.	Shom		1.998			-0.69	
Katiu	Abords de Mururoa	-16.368889	-144.354722										Douille SHOM scellée verticalement sur le sommet de la bitte d’amarrage située au sud du quai.	Shom		2.409			-1.109	
Faaite	Abords de Mururoa	-16.701667	-145.355										Douille SHOM scellée horizontalement dans le mur d'enceinte (côté passe) de l'école d'Hitianau.	Shom		2.111			-0.944	
Raroia	Abords de Mururoa	-16.045	-142.471667										Douille de nivellement scellée horizontalement, sur la façade sud du hangar à coprah	Shom		1.812			-3.459	
Taenga	Abords de Mururoa	-16.361667	-143.186667										Douille SHOM scellée verticalement dans le coin Nord Ouest du quai.	Shom		1.688			-3.238	
Makemo	Abords de Mururoa	-16.628333	-143.566667		2018	1.08	0.85	0.75	0.64	0.45	0.45	0.38	Repère de nivellement type SHOM scellé horizontalement dans le mur SE de la maison de l’artisanat de Pouheva. Repère pérenne.	Shom		2.369			-2.21	
Tahanea	Abords de Mururoa	-16.866667	-144.666667			0.91	0.8	0.8	0.6	0.45	0.4	0.31	"Douille de fusil scellée dans un bloc de corail isolé, côté océan, dans le prolongement du ""hoa"" jouxtant l'ancien village de Kari Karina."	Shom		2.547			-1.49	
Mututunga	Abords de Mururoa	-17.0625	-144.402778										"Repère de nivellement ""SHOM"" scellé horizontalement sur le soubassement de la citerne Est, face Sud."	Shom		2.191			-1.995	
Amanu	Abords de Mururoa	-17.845	-140.851667										Douille de 20 mm marquée MHPF scellée dans le mur Ouest de la citerne située sur le quai d'Ikitake.	Shom		1.698			-5.962	
Hao (Passe Kaki)	Abords de Mururoa	-18.0725	-141		2008	1.16	1.1	0.95	0.8	0.7	0.5	0.49	pas de rattachement							
Hao (quai Louarn)	Abords de Mururoa	-18.065	-140.966667		2023								HAO - RN 5	SAU Polynésie	2015	2.505	1.776	-0.729	-5.64	NGPF
Tureia	Abords de Mururoa	-20.7725	-138.568667		2014	1.37	1.2	1	0.84	0.7	0.4	0.3	Douille SHOM dont la tête de douille n'existe plus, scellée verticalement dans un joint de dalle de béton de l'ancien héliport.	Shom		3.906			-8.393	
Mururoa (Faucon)	Abords de Mururoa	-21.8815	-139.036388										Boulon scellé dans l'angle Nord Ouest du quai.	Shom		1.4				
Mururoa (Hortensia)	Abords de Mururoa	-21.862333	-138.991167										Repère S.H. de nivellement scellé au sommet du gros rocher à proximité du beaching (1962).	Shom		1.108				
Mururoa (Giroflée)	Abords de Mururoa	-21.84	-138.948333										Repère de nivellement du type SHOM scellé horizontalement dans le mur d'enceinte Nord Est de l'îlot Giroflée.	Shom		2.78				
Fangataufa (Frégate)	Abords de Mururoa	-22.228333	-138.713333		2019	1.1	1	0.85	0.67	0.55	0.3	0.21	Repère type SHOM scellé horizontalement dans la première marche de l'escalier extérieur du PEA Frégate (blockhaus).	Shom		2.77			-8.68	
Fangataufa (large)	Abords de Mururoa	-22.2	-138.766667			0.96	0.8	0.7	0.54	0.4	0.2	0.12	Tube de 20 m/m scellé dans une borne en ciment à l'Est de la passe, côté lagon, (sommet du repère).	Shom						
Taiohae	Abords de Taiohae	-8.916667	-140.1			1.68	1.4	1.2	0.84	0.4	0.3	0.06	Repère SHOM scellé horizontalement dans le mur du bâtiment servant de prison et au service du cadastre. Repère pérenne.	Shom		6.727			4.626	
Île Eiao	Abords de Taiohae	-7.983333	-140.708333			1.59	1.3	1.2	0.76	0.3	0.2	-0.02	"Douille ""MOP 96"" de type SHOM scellée verticalement dans un rocher à proximité du repère de tirant d'air, au fond de la baie de Vaituha."	Shom		2.481			4.067	
Haopu	Abords de Taiohae	-8.825	-140.246667										Repère en bronze gravé S.H.O.M. scellé dans l'angle Nord Ouest de la dalle de béton supportant la baraque des T.P.	Shom		6.516				
Hatiheu	Abords de Taiohae	-8.815167	-140.085833										Douille SHOM scellée verticalement dans une dalle en béton située à proximité de l'église. Repère pérenne.	Shom		5.089				
Aotupa	Abords de Taiohae	-8.9275	-140.115										"Douille de 40 mm marquée MHPF 61 - origine des cotes "" la partie supérieure de la douille""."	Shom		3.712				
Hane	Abords de Taiohae	-8.928333	-139.533333										Repère type S.H.O.M. scellé horizontalement dans la falaise à proximité du débarcadère.	Shom		4.223				
Hakahau	Abords de Taiohae	-9.3575	-140.046667										Repère Shom scellé horizontalement dans la falaise 100 mètres au sud du quai du village de Hakahau.	Shom		5.857			2.426	
Hakatao	Abords de Taiohae	-9.450833	-140.085833										Repère de nivellement SHOM scellé dans le mur de l'atelier de réparations des bateaux.	Shom		4.086				
Hanaiapa	Abords de Taiohae	-9.715	-139.015										Repère SHOM scellé horizontalement dans le coin NE du préau de l'école de Hanaiapa.	Shom		11.038			2.869	
Puamau	Abords de Taiohae	-9.765	-138.878333										Repère en bronze de type SHOM scellé dans le soubassement de l'église.	Shom		7.749				
Atuona	Abords de Taiohae	-9.805	-139.031667			1.67	1.4	1.2	0.84	0.4	0.35	0.09	Repère de type SHOM scellé dans la base du phare de la pointe FEKI.	Shom		45.988			3.277	
Vaitahu	Abords de Taiohae	-9.935	-139.11				1.4	1.2		0.4	0.3		Boulon hexagonal en acier scellé verticalement dans une marche en bordure de l'angle SW de la chapelle de Vaitahu.	Shom		4.718			2.121	
Hanavave	Abords de Taiohae	-10.465	-138.666667										Repère de l'observatoire, repère en bronze de type S.H.O.M scellé dans le mur du clocher de l'église.	Shom		7.13				
Omoa	Abords de Taiohae	-10.511667	-138.6875										Repère SHOM en bronze scellé horizontalement dans le parapet du débarcadère.	Shom		4.73				
Clipperton	Atoll de Clipperton	10.288167	-109.204		2014	1.6	1.25		0.93		0.6	0.24	Clou d’arpentage planté dans une patate de corail située sur le plateau à 50 m dans le 025° de l’épave se trouvant au sud du Rocher Clipperton. Ce clou correspond au repère 1 (CLIP02) de la  fiche géodésique « Océan Pacifique nord-est – Sud atoll de Clipperton – CLIP02 et CLIP03 »  du 23 octobre 2013. Repère non pérenne	Shom		2.82			-26.59	
Lagon de Clipperton	Atoll de Clipperton	10.296667	-109.216667										Douille SHOM scellée verticalement dans un bloc de corail, au SE du Rocher et correspondant au repère CLIP04 de la fiche géodésique « Clipperton – Le Rocher ».Repère pérenne.	Shom		1.2			-26.06	
